city_name,density_city_2007,trade_ratio_city_2007,trade_ratio_city_2010,N_2017,Unemploy_2017,N_2007,Unemploy_2007,density_city_2010,trade_ratio_city_2014,density_city_2014,trade_ratio_city_2017,density_city_2017,chr_dummy,year_chr,trade_accessible_dummy,category
Nanyang,417.34,0.416910047,0.4159736,1195,3.607,1101.78,3.5601,440.42001,0.47593644,441.72,0.4600344,450.79028,0,,0,4
Neijiang,783.75,0.566666667,0.4914611,420,1.789,422.13,1.7454,790.21997,0.56184739,792.65002,0.54749686,779.94427,0,,0,4
Ningbo,598.45001,0.630370991,0.66402054,591,7.0132,560.45,4.4957,581.65997,0.65408403,591.02002,0.60937887,602.07825,1,2013,1,2
Ningde,247.50999,0.275390625,0.28091982,352,1.2348,328.1,1.1012,253.59,0.48122743,258.09,0.47867176,265.72055,1,2013,0,4
Ordos,16.25,0.499334221,0.42973652,159,2.269,141,1.0562,17.23,0.53096771,17.790001,0.47783029,18.328108,0,,0,4
Panjing,312.16,0.757266474,0.79467529,130,1.9243,127.08,0.7424,319.35999,0.75461847,317.22,0.73893809,319.80319,0,,0,4
Panzhihua,146.52,0.706593407,0.67859203,111,1.9308,109.01,1.5446,149.97,0.71088707,151.33,0.54552853,149.97974,0,,0,4
Pingdingshan,644.19,0.550522648,0.54846185,568,2.4711,507.75,2.0835,675.40997,0.58429319,680.06,0.5540635,720.62927,0,,0,4
Pingliang,201.86,0.378188215,0.35170808,234,1.002,225.48,0.732,205.7,0.41858974,207.56,0.4197326,209.4897,0,,0,4
Pingxiang,475.85999,0.481936972,0.47803807,200,1.732,181.97,1.4838,488.82999,0.58223349,505.25,0.56023514,522.05688,1,2014,0,4
Putian,745.25,0.68175389,0.64744526,350,0.8016,306.97,0.7066,775.94,0.73648071,808.92999,0.70967585,847.2525,1,2013,0,4
Puyang,891.02002,0.498121478,0.50185186,433,1.7196,380.11,1.5914,947.53998,0.64999998,1008.92,0.59379125,1033.9064,0,,0,4
Qingdao,670.59003,0.658530934,0.61800587,791,7.978,749.38,5.9716,694.95001,0.5904147,685.76001,0.53343725,701.11682,1,2014,1,2
Qingyang,92.860001,0.197959184,0.079434171,270,1.6051,251.83,0.7637,96.220001,0.37011495,97.389999,0.35890493,99.561195,0,,0,4
Qingyuan,207.82001,0.523353293,0.53258002,432,1.2362,398.03,0.9664,214.75999,0.51174605,215.27,0.48903066,226.93843,1,2009,0,4
Qinhuangdao,372.91,0.361071932,0.375,298,2.1562,280.54,1.6133,381.82001,0.3877193,375.19,0.3418929,381.95334,0,,0,4
Qinzhou,321.45999,0.308860759,0.30427891,409,0.9217,348.56,0.8205,342.32999,0.4371134,326.25,0.4567771,335.60352,0,,0,4
Qiqihar,133.25,0.534904805,0.49062499,544,4.4,565.9,3.9125,134.58,0.45858824,131.14999,0.38897979,128.01205,0,,0,4
Qitaihe,143.17999,0.770676692,0.72335601,80,0.7993,89.07,0.7847,149.12,0.67637795,147.82001,0.56039125,128.59669,0,,0,4
Quanzhou,608.62,0.800180424,0.81911087,730,2.1903,670.4,0.8872,618.10999,0.8006109,638.67999,0.76982445,662.73267,1,2013,0,3
Qujing,205.82001,0.387055838,0.52588642,653,1.4352,594.94,3.1386,213.17999,0.58183634,222.07001,0.5505783,225.91248,1,2016,0,4
Quzhou,279.01999,0.408892128,0.43294549,257,1.2589,246.68,0.9909,282.62,0.45490196,287.41,0.41820598,290.55963,1,2014,0,4
Rizhao,531.83002,0.465517241,0.46850598,300,1.2422,282.4,1.258,534.33002,0.5707165,541.39001,0.5350011,559.80591,0,,0,4
Sanmengxia,214.39,0.551537822,0.52514917,229,0.8369,225.02,1.1177,218.71001,0.5297491,216.07001,0.52561241,218.17836,1,2010,0,4
Sanming,116.66,0.456996746,0.43372366,287,1.008,268.64,1.6643,117.37,0.41037345,121.25,0.37674388,124.26933,0,,0,4
